via,numero_de_la_via,via,cruce_1,via,cruce_2,direccion_completa,precio,zona
Calle,23,Avenida,52,Avenida,54,Calle 23 entre Avenida 52 y Avenida 54,250,Casco Historico
Calle,23,Avenida,54,Avenida,56,Calle 23 entre Avenida 54 y Avenida 56,250,Casco Historico
Calle,23,Avenida,56,Avenida,58,Calle 23 entre Avenida 56 y Avenida 58,250,Casco Historico
Calle,23,Avenida,58,Avenida,60,Calle 23 entre Avenida 58 y Avenida 60,250,Casco Historico
Calle,23,Avenida,60,Avenida,62,Calle 23 entre Avenida 60 y Avenida 62,250,Casco Historico
Calle,25,Avenida,46,Avenida,48,Calle 25 entre Avenida 46 y Avenida 48,250,Casco Historico
Calle,25,Avenida,48,Avenida,50,Calle 25 entre Avenida 48 y Avenida 50,250,Casco Historico
Calle,25,Avenida,50,Avenida,52,Calle 25 entre Avenida 50 y Avenida 52,250,Casco Historico
Calle,25,Avenida,52,Avenida,54,Calle 25 entre Avenida 52 y Avenida 54,250,Casco Historico
Calle,25,Avenida,54,Avenida,56,Calle 25 entre Avenida 54 y Avenida 56,250,Casco Historico
Calle,25,Avenida,56,Avenida,58,Calle 25 entre Avenida 56 y Avenida 58,250,Casco Historico
Calle,25,Avenida,58,Avenida,60,Calle 25 entre Avenida 58 y Avenida 60,250,Casco Historico
Calle,25,Avenida,60,Avenida,62,Calle 25 entre Avenida 60 y Avenida 62,250,Casco Historico
Calle,25A,Avenida,82A,Avenida,82B,Calle 25A entre Avenida 82A y Avenida 82B,350,Pastorita
Calle,27,Avenida,46,Avenida,48,Calle 27 entre Avenida 46 y Avenida 48,250,Casco Historico
Calle,27,Avenida,48,Avenida,50,Calle 27 entre Avenida 48 y Avenida 50,250,Casco Historico
Calle,27,Avenida,50,Avenida,52,Calle 27 entre Avenida 50 y Avenida 52,250,Casco Historico
Calle,27,Avenida,52,Avenida,54,Calle 27 entre Avenida 52 y Avenida 54,250,Casco Historico
Calle,27,Avenida,56,Avenida,58,Calle 27 entre Avenida 56 y Avenida 58,250,Casco Historico
Calle,27,Avenida,58,Avenida,60,Calle 27 entre Avenida 58 y Avenida 60,250,Casco Historico
Calle,27,Avenida,60,Avenida,62,Calle 27 entre Avenida 60 y Avenida 62,250,Casco Historico
Calle,27,Avenida,82A,Avenida,82B,Calle 27 entre Avenida 82A y Avenida 82B,350,Pastorita
Calle,27,Avenida,82B,Avenida,84,Calle 27 entre Avenida 82B y Avenida 84,350,Pastorita
Calle,29,Avenida,46,Avenida,48,Calle 29 entre Avenida 46 y Avenida 48,250,Casco Historico
Calle,29,Avenida,48,Avenida,50,Calle 29 entre Avenida 48 y Avenida 50,250,Casco Historico
Calle,29,Avenida,50,Avenida,52,Calle 29 entre Avenida 50 y Avenida 52,250,Casco Historico
Calle,29,Avenida,52,Avenida,54,Calle 29 entre Avenida 52 y Avenida 54,250,Casco Historico
Calle,29,Avenida,54,Avenida,56,Calle 29 entre Avenida 54 y Avenida 56,250,Casco Historico
Calle,29,Avenida,56,Avenida,58,Calle 29 entre Avenida 56 y Avenida 58,250,Casco Historico
Calle,29,Avenida,58,Avenida,60,Calle 29 entre Avenida 58 y Avenida 60,250,Casco Historico
Calle,29,Avenida,60,Avenida,62,Calle 29 entre Avenida 60 y Avenida 62,250,Casco Historico
Calle,29,Avenida,62,Avenida,64,Calle 29 entre Avenida 62 y Avenida 64,250,Casco Historico
Calle,29,Avenida,66,Avenida,68,Calle 29 entre Avenida 66 y Avenida 68,300,Punta Gotica
Calle,29,Calle,31,Avenida,84,Calle 29 entre Calle 31 y Avenida 84,350,Pastorita
Calle,29,Avenida,84,Avenida,90,Calle 29 entre Avenida 84 y Avenida 90,350,Pastorita
Calle,29,Avenida,90,Calle,CARRETERA DEL PUERTO,Calle 29 entre Avenida 90 y Calle CARRETERA DEL PUERTO,350,Pastorita
Calle,31,Avenida,46,Avenida,48,Calle 31 entre Avenida 46 y Avenida 48,250,Casco Historico
Calle,31,Avenida,48,Avenida,50,Calle 31 entre Avenida 48 y Avenida 50,250,Casco Historico
Calle,31,Avenida,50,Avenida,52,Calle 31 entre Avenida 50 y Avenida 52,250,Casco Historico
Calle,31,Avenida,52,Avenida,54,Calle 31 entre Avenida 52 y Avenida 54,250,Casco Historico
Calle,31,Avenida,54,Avenida,56,Calle 31 entre Avenida 54 y Avenida 56,250,Casco Historico
Calle,31,Avenida,56,Avenida,58,Calle 31 entre Avenida 56 y Avenida 58,250,Casco Historico
Calle,31,Avenida,58,Avenida,60,Calle 31 entre Avenida 58 y Avenida 60,250,Casco Historico
Calle,31,Avenida,60,Avenida,62,Calle 31 entre Avenida 60 y Avenida 62,250,Casco Historico
Calle,31,Avenida,62,Avenida,64,Calle 31 entre Avenida 62 y Avenida 64,250,Casco Historico
Calle,31,Avenida,64,Avenida,66,Calle 31 entre Avenida 64 y Avenida 66,250,Punta Gotica
